8	69	3	
86	59	4	
40	7	27	
69	0	89	
76	86	1	
92	63	66	
43	54	99	
2	27	48	
0	51	31	
87	61	76	
53	41	30	
79	81	60	
51	70	32	
42	82	95	
67	74	48	
59	35	45	
32	31	37	
33	67	74	
39	51	56	
38	86	1	
42	96	25	
76	10	65	
65	33	49	
95	79	60	
56	91	83	
90	83	73	
88	4	36	
7	20	2	
94	8	0	
37	59	62	
41	53	55	
32	12	8	
12	31	40	
17	68	22	
23	44	50	
15	93	44	
88	14	96	
29	68	99	
86	19	61	
18	78	49	
32	2	80	
30	53	10	
20	13	82	
6	94	54	
64	71	34	
46	50	49	
49	95	45	
71	43	98	
14	7	96	
78	46	22	
90	58	45	
12	70	8	
85	56	48	
10	30	41	
43	33	91	
30	41	53	
24	91	83	
64	75	93	
50	8	32	
15	1	29	
23	11	89	
38	86	76	
97	82	29	
5	92	69	
57	93	95	
67	22	21	
74	56	18	
17	65	14	
37	33	17	
3	0	92	
12	51	8	
47	38	93	
53	41	73	
72	25	90	
17	14	67	
57	11	60	
21	4	61	
81	99	79	
49	39	22	
11	23	87	
40	91	50	
77	11	79	
42	62	13	
53	25	95	
9	63	23	
52	86	1	
1	38	61	
89	64	79	
26	36	96	
87	3	60	
50	25	99	
98	54	24	
5	69	63	
64	71	86	
43	71	28	
23	46	64	
88	20	36	
62	26	88	
91	47	72	
77	37	90	
